OverallQual,OverallCond,YearBuilt,BsmtFinSF1,GrLivArea,BedroomAbvGr,GarageArea,SalePrice
8,5,2004,1464,2000,3,888,305900
7,5,1990,700,2243,4,746,225000
6,7,1920,0,1406,3,0,89500
4,5,1940,262,861,1,539,82500
9,5,2003,1274,1944,3,708,360000
6,5,1993,518,1501,3,420,165600
6,6,1948,680,972,2,240,132000
5,7,1939,507,1118,3,410,119900
7,5,1965,1236,2036,3,513,375000
7,7,1925,16,1641,3,546,178000
7,5,2004,425,1432,3,432,188500
7,7,1980,692,2353,4,484,260000
8,5,2006,0,1959,3,1025,270000
7,5,1993,987,2646,4,656,260000
7,5,1980,1036,1472,3,588,187500
9,5,2006,0,2596,4,840,342643
8,5,2004,970,2468,4,872,354000
7,5,1986,28,2730,4,576,301000
3,8,1955,256,1163,3,220,126175
7,7,1967,0,2978,5,564,242000
5,6,1941,116,803,2,360,87000
8,5,1993,1619,1719,1,473,324000
6,5,1960,565,1383,3,292,145250
6,6,1916,0,2134,5,441,214500
5,5,1920,0,1192,3,189,78000
5,4,1964,40,1728,6,352,119000
5,6,1958,846,1056,3,308,139000
8,5,2003,1124,1629,3,880,284000
7,5,2004,720,1358,2,484,207000
6,5,1998,828,1638,3,472,192000
5,6,1965,1249,1786,3,529,228950
9,5,2005,1249,1922,3,676,377426
7,5,2002,810,1536,3,532,214000
7,7,1984,213,1621,3,440,202500
6,7,1958,585,1215,3,297,155000
8,5,2002,0,1908,4,431,202900
4,4,1950,0,841,2,294,82000
3,4,1949,0,1040,2,400,87500
9,5,2005,28,1684,2,564,266000
5,3,1976,129,1112,3,336,85000
6,5,1939,0,1577,3,312,140200
6,8,1960,498,958,2,301,151500
6,5,1960,1270,1478,3,498,157500
7,5,2003,573,1626,2,474,154000
9,5,2005,1410,2728,4,706,437154
9,5,2007,0,1869,2,617,318061
7,5,1986,1082,1453,2,445,190000
5,6,1941,236,1111,3,200,95000
6,8,1928,0,720,2,484,105900
6,5,1940,388,1595,2,240,140000
6,5,1995,334,1200,3,521,177500
6,6,1992,560,1167,3,400,173000
5,5,1976,874,1142,3,528,134000
5,4,1958,300,1352,3,288,130000
8,5,1998,956,1924,3,592,280000
6,6,1978,773,912,2,470,156000
5,5,1940,399,1505,3,240,145000
7,5,2003,0,1922,4,672,198500
6,8,1972,162,987,2,264,118000
6,5,1976,712,1574,3,566,190000
5,7,1920,456,1344,3,468,147000
6,5,1963,609,1394,3,514,159000
6,5,1962,371,1431,3,296,165000
5,6,1954,540,1268,2,244,132000
5,7,1959,72,1287,3,576,162000
6,5,2000,0,1664,3,460,172400
4,4,1959,0,1588,4,680,134432
6,5,1984,623,752,2,264,125000
5,6,1953,428,1319,3,270,123000
7,5,2003,0,1928,4,434,219500
1,1,1922,350,904,1,0,61000
5,5,1996,298,914,2,576,148000
8,5,2004,0,2466,4,610,340000
9,2,2010,1445,1856,1,834,394432
6,5,2000,0,1800,3,463,179000
5,6,1924,218,1691,3,308,127000
7,5,2006,0,1301,2,572,187750
7,5,2006,0,1797,3,639,213500
6,3,1928,0,784,2,360,76000
6,5,1992,985,1953,3,501,240000
8,5,2004,24,1269,2,430,192000
5,3,1910,0,1184,5,0,81000
6,6,1976,631,1125,3,352,125000
7,5,1999,0,1479,3,577,191000
10,5,2007,1280,2332,3,846,426000
5,8,1900,241,1367,4,384,119000
6,5,2001,690,1961,3,560,215000
5,7,1959,0,882,3,294,106500
4,5,1941,266,788,2,0,100000
5,6,1940,0,1034,2,240,109000
5,6,1956,739,1144,3,596,129000
5,5,1972,777,894,2,600,123000
5,5,1962,540,1812,4,264,169500
5,2,1920,0,1077,2,338,67000
7,5,2006,812,1550,2,438,241000
8,5,1996,786,1288,1,500,245500
7,5,2005,24,1310,3,400,164990
5,8,1940,0,672,2,240,108000
8,5,1998,0,2263,4,420,258000
6,5,1995,0,1572,3,373,168000
4,4,1976,1116,1620,3,490,150000
6,5,1936,0,1639,3,240,115000
6,7,1915,0,1680,4,308,177000
7,5,2006,0,2172,3,947,280000
8,5,2007,789,2078,3,836,339750
5,3,1958,0,1276,3,350,60000
5,5,1955,1056,1056,3,572,145000
7,5,2009,578,1478,2,484,222000
5,6,1927,0,1028,2,360,115000
7,5,1993,50,2097,3,678,228000
7,5,2007,24,1340,3,396,181134
6,7,1978,209,1400,3,440,149500
6,6,1918,1128,2624,4,864,239000
5,6,1940,312,1134,3,240,126000
5,6,1968,775,1056,3,304,142000
7,5,1997,1309,1344,2,784,206300
6,7,1977,1246,1602,3,529,215000
5,5,1954,0,988,2,520,113000
8,5,1998,986,2630,4,696,315000
6,5,1956,616,1196,2,297,139000
7,8,1946,0,1389,3,240,135000
7,5,1989,1518,1644,2,569,275000
4,6,1957,288,907,3,352,109008
7,5,2007,664,1208,2,628,195400
6,5,1988,1005,1412,3,576,175000
6,5,1971,387,987,2,264,85400
6,7,1920,0,1198,4,0,79900
5,5,1971,471,1365,2,440,122500
6,5,1997,0,1604,3,470,181000
4,7,1972,495,630,1,0,81000
7,6,1996,385,1661,3,550,212000
6,8,1920,0,1118,2,440,116000
6,7,1926,0,904,2,180,119000
5,6,1913,365,694,2,352,90350
6,8,1920,0,1196,3,528,110000
10,5,2008,1767,2402,2,672,555000
4,4,1955,133,1440,4,0,118000
5,7,1930,0,1573,3,360,162900
7,5,2006,0,1258,2,648,172500
7,5,1994,642,1908,4,493,210000
6,5,1956,0,1689,3,480,127500
6,6,1966,247,1888,2,578,190000
7,5,1998,0,1886,4,431,199900
6,6,1937,0,1376,3,198,119500
3,7,1948,331,1183,2,308,120000
6,8,1930,0,813,2,270,110000
7,5,1975,655,1533,2,576,280000
6,5,1996,742,1756,3,422,204000
8,5,2008,0,1590,3,676,210000
5,5,1976,1606,1728,4,560,188000
7,6,1973,916,1242,3,528,175500
5,5,1916,0,1344,4,513,98000
4,6,1954,1116,1663,2,529,256000
8,7,1925,0,1666,3,228,161000
5,4,1950,185,1203,3,352,110000
8,5,2009,544,1935,3,552,263435
7,9,1936,350,1135,3,576,155000
5,5,1965,553,864,3,360,62383
6,7,1934,326,1660,3,240,188700
5,5,1978,616,1040,3,0,124000
7,5,2004,0,1414,2,398,178740
7,5,1970,778,1277,2,526,167000
5,7,1942,386,1644,3,312,146500
8,5,2006,0,1634,3,866,250000
6,5,1993,426,1710,3,506,187000
8,5,1985,368,1502,1,528,212000
7,6,1977,0,1969,3,534,190000
6,5,2005,459,1072,2,525,148000
8,5,2006,1350,1976,2,908,440000
8,5,2000,1196,1652,2,499,251000
5,6,1963,630,970,2,624,132500
6,5,1997,994,1493,3,508,208900
9,5,2006,0,2643,3,694,380000
8,5,2007,1288,1718,3,826,297000
4,7,1937,168,1131,2,672,89471
9,5,2004,1261,1850,3,772,326000
9,5,2003,1567,1792,2,874,374000
7,8,1915,299,1826,4,164,155000
6,5,1998,897,1216,2,402,164000
5,7,1962,588,999,3,264,132500
5,7,1950,607,1113,3,264,147000
5,7,1965,836,1073,3,515,156000
5,6,1971,998,1484,3,487,175000
5,4,1900,664,2414,3,520,160000
4,8,1970,515,630,1,286,86000
5,6,1976,0,1304,3,336,115000
6,7,1941,403,1578,3,240,133000
6,5,2006,0,1456,3,429,172785
5,6,1960,374,1269,3,308,155000
5,8,1938,0,886,2,273,91300
4,5,1920,495,720,2,0,34900
8,5,1992,1231,3228,4,546,430000
7,6,1925,329,1820,4,240,184000
5,7,1967,450,899,3,288,130000
5,7,1958,111,912,2,297,120000
